,SALE_YEAR,NBHD_ID,Last_Year_Price,Median_Neighbor_Last_Year_Price,SALE_PRICE
655,2010,41,195000.0,267000.0,196000.0
656,2011,41,196000.0,240000.0,152000.0
657,2012,41,152000.0,297200.0,257467.5
658,2013,41,257467.5,274500.0,271200.0
659,2014,41,271200.0,326964.0,316000.0
660,2015,41,316000.0,367900.0,315500.0
661,2016,41,315500.0,399500.0,350000.0
662,2017,41,350000.0,460000.0,365000.0
663,2018,41,365000.0,470000.0,395000.0
664,2019,41,395000.0,509000.0,444000.0
666,2002,42,455910.5,237450.0,425000.0
667,2003,42,425000.0,242500.0,490000.0
668,2004,42,490000.0,249000.0,550564.0
669,2005,42,550564.0,260000.0,470567.0
670,2006,42,470567.0,277500.0,500364.0
671,2007,42,500364.0,292500.0,765000.0
672,2008,42,765000.0,321250.0,595000.0
673,2009,42,595000.0,285375.0,498750.0
674,2010,42,498750.0,290750.0,478500.0
675,2011,42,478500.0,288250.0,522257.0
676,2012,42,522257.0,286375.0,540000.0
677,2013,42,540000.0,311200.0,553627.0
678,2014,42,553627.0,348700.0,629500.0
679,2015,42,629500.0,389750.0,594000.0
680,2016,42,594000.0,398725.0,667250.0
681,2017,42,667250.0,458625.0,745050.0
682,2018,42,745050.0,475000.0,797450.0
683,2019,42,797450.0,550500.0,804000.0
685,2002,43,166000.0,165000.0,162000.0
686,2003,43,162000.0,174700.0,172000.0
687,2004,43,172000.0,170000.0,174900.0
688,2005,43,174900.0,179500.0,175000.0
689,2006,43,175000.0,180947.5,164850.0
690,2007,43,164850.0,170000.0,151000.0
691,2008,43,151000.0,149500.0,145000.0
692,2009,43,145000.0,145355.5,138500.0
693,2010,43,138500.0,136700.0,153750.0
694,2011,43,153750.0,140000.0,130000.0
695,2012,43,130000.0,134900.0,139400.0
696,2013,43,139400.0,145000.0,152000.0
697,2014,43,152000.0,165000.0,177500.0
698,2015,43,177500.0,181500.0,225000.0
699,2016,43,225000.0,214250.0,260000.0
700,2017,43,260000.0,257500.0,290000.0
701,2018,43,290000.0,302470.0,316500.0
702,2019,43,316500.0,325000.0,327500.0
704,2002,44,285000.0,240000.0,215150.0
705,2003,44,215150.0,226500.0,216000.0
706,2004,44,216000.0,225000.0,254500.0
707,2005,44,254500.0,244000.0,294000.0
708,2006,44,294000.0,245000.0,295000.0
709,2007,44,295000.0,250000.0,226450.0
710,2008,44,226450.0,218250.0,231000.0
711,2009,44,231000.0,239000.0,300000.0
712,2010,44,300000.0,235000.0,275000.0
713,2011,44,275000.0,225000.0,215500.0
714,2012,44,215500.0,215218.5,250000.0
715,2013,44,250000.0,250000.0,250000.0
716,2014,44,250000.0,253750.0,287000.0
717,2015,44,287000.0,290000.0,285500.0
718,2016,44,285500.0,333000.0,335000.0
719,2017,44,335000.0,350000.0,365000.0
720,2018,44,365000.0,386500.0,385000.0
721,2019,44,385000.0,405000.0,400000.0
723,2002,45,176750.0,297208.2299575049,177000.0
724,2003,45,177000.0,305518.0,175500.0
725,2004,45,175500.0,292945.5,185700.0
726,2005,45,185700.0,307188.75,183650.0
727,2006,45,183650.0,385154.5,155000.0
728,2007,45,155000.0,357677.0,154900.0
729,2008,45,154900.0,365655.5,137159.0
730,2009,45,137159.0,340944.75,132500.0
731,2010,45,132500.0,310225.0,132500.0
732,2011,45,132500.0,294465.5,128900.0
733,2012,45,128900.0,308930.75,134950.0
734,2013,45,134950.0,340875.0,157750.0
735,2014,45,157750.0,348180.0,185000.0
736,2015,45,185000.0,386257.0,220300.0
737,2016,45,220300.0,420480.0,251000.0
738,2017,45,251000.0,437488.0,285000.0
739,2018,45,285000.0,473067.0,310000.0
740,2019,45,310000.0,498819.25,328000.0
742,2002,46,245000.0,345000.0,253000.0
743,2003,46,253000.0,365000.0,253000.0
744,2004,46,253000.0,340000.0,275000.0
745,2005,46,275000.0,338000.0,300000.0
746,2006,46,300000.0,440000.0,325000.0
747,2007,46,325000.0,414000.0,352500.0
748,2008,46,352500.0,483750.0,317000.0
749,2009,46,317000.0,410000.0,333000.0
750,2010,46,333000.0,400000.0,306500.0
751,2011,46,306500.0,447500.0,318000.0
752,2012,46,318000.0,410950.0,349900.0
753,2013,46,349900.0,424000.0,377500.0
754,2014,46,377500.0,515000.0,433500.0
755,2015,46,433500.0,490000.0,450000.0
756,2016,46,450000.0,516000.0,472250.0
757,2017,46,472250.0,599500.0,515000.0
758,2018,46,515000.0,631000.0,600000.0
759,2019,46,600000.0,687500.0,559500.0
761,2002,48,245000.0,163250.0,234950.0
762,2003,48,234950.0,191193.0,256000.0
763,2004,48,256000.0,175700.0,243500.0
764,2005,48,243500.0,219900.0,257450.0
765,2006,48,257450.0,202000.0,252500.0
766,2007,48,252500.0,210000.0,326750.0
767,2008,48,326750.0,203250.0,228000.0
768,2009,48,228000.0,223500.0,209000.0
769,2010,48,209000.0,235000.0,327095.0
770,2011,48,327095.0,195500.0,279134.0
771,2012,48,279134.0,183000.0,305950.0
772,2013,48,305950.0,247250.0,335000.0
773,2014,48,335000.0,267975.0,356700.0
774,2015,48,356700.0,313000.0,402000.0
775,2016,48,402000.0,378000.0,430000.0
776,2017,48,430000.0,400000.0,504750.0
777,2018,48,504750.0,430000.0,534450.0
778,2019,48,534450.0,499000.0,520000.0
780,2002,49,157500.0,163250.0,191193.0
781,2003,49,191193.0,159925.0,175700.0
782,2004,49,175700.0,169000.0,167750.0
783,2005,49,167750.0,219900.0,165000.0
784,2006,49,165000.0,202000.0,161000.0
785,2007,49,161000.0,210000.0,154300.0
786,2008,49,154300.0,203250.0,168985.0
787,2009,49,168985.0,223500.0,142500.0
788,2010,49,142500.0,209000.0,160000.0
789,2011,49,160000.0,195500.0,144500.0
790,2012,49,144500.0,183000.0,167000.0
791,2013,49,167000.0,247250.0,218000.0
792,2014,49,218000.0,267975.0,227500.0
793,2015,49,227500.0,313000.0,295500.0
794,2016,49,295500.0,378000.0,339975.0
795,2017,49,339975.0,400000.0,375500.0
796,2018,49,375500.0,430000.0,401546.0
797,2019,49,401546.0,499000.0,400000.0
799,2002,50,148375.0,195000.0,170000.0
800,2003,50,170000.0,189900.0,142000.0
801,2004,50,142000.0,223500.0,158000.0
802,2005,50,158000.0,250000.0,163000.0
803,2006,50,163000.0,280000.0,150000.0
804,2007,50,150000.0,245000.0,156275.0
805,2008,50,156275.0,225849.5,173400.0
806,2009,50,173400.0,260000.0,151500.0
807,2010,50,151500.0,266500.0,181500.0
808,2011,50,181500.0,240000.0,159000.0
809,2012,50,159000.0,255000.0,180000.0
810,2013,50,180000.0,274500.0,197600.0
811,2014,50,197600.0,326964.0,208500.0
812,2015,50,208500.0,344250.0,290000.0
813,2016,50,290000.0,399500.0,318750.0
814,2017,50,318750.0,460000.0,329950.0
815,2018,50,329950.0,470000.0,411000.0
816,2019,50,411000.0,509000.0,379500.0
818,2002,51,228000.0,230950.0,280000.0
819,2003,51,280000.0,235500.0,259000.0
820,2004,51,259000.0,247500.0,270000.0
821,2005,51,270000.0,254500.0,305000.0
822,2006,51,305000.0,284000.0,347500.0
823,2007,51,347500.0,295000.0,370000.0
824,2008,51,370000.0,293875.0,360000.0
825,2009,51,360000.0,283000.0,358750.0
826,2010,51,358750.0,282500.0,346500.0
827,2011,51,346500.0,275162.5,351000.0
828,2012,51,351000.0,297850.0,385000.0
829,2013,51,385000.0,303375.0,398000.0
830,2014,51,398000.0,363750.0,464000.0
831,2015,51,464000.0,371450.0,525000.0
832,2016,51,525000.0,418250.0,500000.0
833,2017,51,500000.0,467187.5,568750.0
834,2018,51,568750.0,516700.0,635000.0
835,2019,51,635000.0,548250.0,635000.0
837,2002,52,165000.0,179900.0,188450.0
838,2003,52,188450.0,201900.0,217000.0
839,2004,52,217000.0,202750.0,188000.0
840,2005,52,188000.0,215000.0,206250.0
841,2006,52,206250.0,207600.0,209000.0
842,2007,52,209000.0,250000.0,194000.0
843,2008,52,194000.0,207500.0,226000.0
844,2009,52,226000.0,227450.0,219800.0
845,2010,52,219800.0,226000.0,197700.0
846,2011,52,197700.0,233500.0,218000.0
847,2012,52,218000.0,265000.0,244000.0
848,2013,52,244000.0,246500.0,255000.0
849,2014,52,255000.0,304411.5,280000.0
850,2015,52,280000.0,360000.0,316000.0
851,2016,52,316000.0,397000.0,367000.0
852,2017,52,367000.0,428900.0,400000.0
853,2018,52,400000.0,470000.0,455000.0
854,2019,52,455000.0,535000.0,490000.0
856,2002,53,222000.0,228000.0,227000.0
857,2003,53,227000.0,244000.0,240000.0
858,2004,53,240000.0,255000.0,259000.0
859,2005,53,259000.0,245000.0,280000.0
860,2006,53,280000.0,254100.0,245000.0
861,2007,53,245000.0,322500.0,292000.0
862,2008,53,292000.0,295750.0,295000.0
863,2009,53,295000.0,271000.0,266500.0
864,2010,53,266500.0,298000.0,292825.0
865,2011,53,292825.0,257500.0,255000.0
866,2012,53,255000.0,298500.0,305000.0
867,2013,53,305000.0,301750.0,370000.0
868,2014,53,370000.0,357500.0,344250.0
869,2015,53,344250.0,375000.0,411500.0
870,2016,53,411500.0,425000.0,469375.0
871,2017,53,469375.0,465000.0,509900.0
872,2018,53,509900.0,523500.0,541500.0
873,2019,53,541500.0,555000.0,522500.0
875,2002,54,165000.0,166000.0,174700.0
876,2003,54,174700.0,170000.0,170000.0
877,2004,54,170000.0,172000.0,179500.0
878,2005,54,179500.0,175000.0,187000.0
879,2006,54,187000.0,175000.0,170000.0
880,2007,54,170000.0,164850.0,149500.0
881,2008,54,149500.0,156275.0,145355.5
882,2009,54,145355.5,173000.0,127000.0
883,2010,54,127000.0,149590.0,149400.0
884,2011,54,149400.0,153200.0,134900.0
885,2012,54,134900.0,135000.0,131000.0
886,2013,54,131000.0,145000.0,164000.0
887,2014,54,164000.0,170000.0,181500.0
888,2015,54,181500.0,199900.0,214250.0
889,2016,54,214250.0,235000.0,257500.0
890,2017,54,257500.0,263875.0,295000.0
891,2018,54,295000.0,313000.0,325000.0
892,2019,54,325000.0,341000.0,332000.0
894,2002,55,163250.0,218250.0,159925.0
895,2003,55,159925.0,232475.0,169000.0
896,2004,55,169000.0,242375.0,219900.0
897,2005,55,219900.0,247000.0,202000.0
898,2006,55,202000.0,260600.0,210000.0
899,2007,55,210000.0,269965.0,203250.0
900,2008,55,203250.0,287500.0,223500.0
901,2009,55,223500.0,251000.0,235000.0
902,2010,55,235000.0,219500.0,195500.0
903,2011,55,195500.0,271050.0,183000.0
904,2012,55,183000.0,268152.0,247250.0
905,2013,55,247250.0,304456.25,267975.0
906,2014,55,267975.0,347250.0,313000.0
907,2015,55,313000.0,363300.0,378000.0
908,2016,55,378000.0,415600.5,400000.0
909,2017,55,400000.0,452500.0,430000.0
910,2018,55,430000.0,515375.0,499000.0
911,2019,55,499000.0,541350.0,491500.0
913,2002,56,224500.0,218737.5,257500.0
914,2003,56,257500.0,223125.0,255000.0
915,2004,56,255000.0,218000.0,244900.0
916,2005,56,244900.0,212750.0,274275.5
917,2006,56,274275.5,237125.0,300000.0
918,2007,56,300000.0,247500.0,330000.0
919,2008,56,330000.0,204817.75,301782.0
920,2009,56,301782.0,285535.0,320000.0
921,2010,56,320000.0,276548.11886426085,299950.0
922,2011,56,299950.0,299225.0,340000.0
923,2012,56,340000.0,284250.0,336000.0
924,2013,56,336000.0,328125.0,375000.0
925,2014,56,375000.0,360875.0,449000.0
926,2015,56,449000.0,375500.0,480100.0
927,2016,56,480100.0,440000.0,527000.0
928,2017,56,527000.0,503500.0,586102.0
929,2018,56,586102.0,528750.0,620000.0
930,2019,56,620000.0,570500.0,617000.0
932,2002,57,345000.0,252250.0,365000.0
933,2003,57,365000.0,245000.0,340000.0
934,2004,57,340000.0,257950.0,338000.0
935,2005,57,338000.0,278250.0,440000.0
936,2006,57,440000.0,323000.0,414000.0
937,2007,57,414000.0,323750.0,483750.0
938,2008,57,483750.0,324250.0,410000.0
939,2009,57,410000.0,320000.0,400000.0
940,2010,57,400000.0,310625.0,447500.0
941,2011,57,447500.0,322547.5,410950.0
942,2012,57,410950.0,298567.0,424000.0
943,2013,57,424000.0,363700.0,515000.0
944,2014,57,515000.0,393750.0,490000.0
945,2015,57,490000.0,438000.0,516000.0
946,2016,57,516000.0,460000.0,599500.0
947,2017,57,599500.0,506125.0,631000.0
948,2018,57,631000.0,531127.0,687500.0
949,2019,57,687500.0,600500.0,710000.0
951,2002,58,309950.0,257850.0,248000.0
952,2003,58,248000.0,271500.0,386000.0
953,2004,58,386000.0,275000.0,458500.0
954,2005,58,458500.0,278500.0,482500.0
955,2006,58,482500.0,287226.0,440000.0
956,2007,58,440000.0,282450.0,499900.0
957,2008,58,499900.0,285000.0,585000.0
958,2009,58,585000.0,291000.0,362000.0
959,2010,58,362000.0,289000.0,390000.0
960,2011,58,390000.0,288500.0,267500.0
961,2012,58,267500.0,259000.0,354950.0
962,2013,58,354950.0,292000.0,414328.5
963,2014,58,414328.5,319950.0,392500.0
964,2015,58,392500.0,344750.0,573000.0
965,2016,58,573000.0,369650.0,650000.0
966,2017,58,650000.0,403000.0,577500.0
967,2018,58,577500.0,435000.0,589000.0
968,2019,58,589000.0,467750.0,610000.0
970,2002,59,277250.0,306120.03121409036,269250.0
971,2003,59,269250.0,316000.0,267750.0
972,2004,59,267750.0,322500.0,314900.0
973,2005,59,314900.0,358862.5,315000.0
974,2006,59,315000.0,400975.0,341750.0
975,2007,59,341750.0,431750.0,393225.0
976,2008,59,393225.0,485250.0,389250.0
977,2009,59,389250.0,485000.0,384500.0
978,2010,59,384500.0,397000.0,345750.0
979,2011,59,345750.0,443725.0,375000.0
980,2012,59,375000.0,384250.0,365000.0
981,2013,59,365000.0,413250.0,432500.0
982,2014,59,432500.0,493000.0,450000.0
983,2015,59,450000.0,511125.0,510000.0
984,2016,59,510000.0,612000.0,530250.0
985,2017,59,530250.0,595453.0,584500.0
986,2018,59,584500.0,723000.0,631000.0
987,2019,59,631000.0,749250.0,642500.0
989,2002,60,408416.45991500985,176750.0,386136.0
990,2003,60,386136.0,191193.0,385000.0
991,2004,60,385000.0,175700.0,410900.0
992,2005,60,410900.0,185700.0,550409.0
993,2006,60,550409.0,183650.0,491820.0
994,2007,60,491820.0,161000.0,531766.0
995,2008,60,531766.0,155000.0,502889.5
996,2009,60,502889.5,168985.0,460500.0
997,2010,60,460500.0,171000.0,408831.0
998,2011,60,408831.0,160000.0,442861.5
999,2012,60,442861.5,144500.0,511450.0
1000,2013,60,511450.0,167000.0,496360.0
1001,2014,60,496360.0,218000.0,542000.0
1002,2015,60,542000.0,227500.0,575960.0
1003,2016,60,575960.0,295500.0,574976.0
1004,2017,60,574976.0,339975.0,626134.0
1005,2018,60,626134.0,375500.0,645000.0
1006,2019,60,645000.0,401546.0,669425.0
1008,2002,62,179900.0,183250.0,201900.0
1009,2003,62,201900.0,196725.0,202750.0
1010,2004,62,202750.0,213500.0,215000.0
1011,2005,62,215000.0,210750.0,207600.0
1012,2006,62,207600.0,218625.0,250000.0
1013,2007,62,250000.0,232000.0,207500.0
1014,2008,62,207500.0,226250.0,227450.0
1015,2009,62,227450.0,258500.0,226000.0
1016,2010,62,226000.0,249900.0,233500.0
1017,2011,62,233500.0,246350.0,265000.0
1018,2012,62,265000.0,245500.0,246500.0
1019,2013,62,246500.0,274875.0,304411.5
1020,2014,62,304411.5,302000.0,360000.0
1021,2015,62,360000.0,328750.0,397000.0
1022,2016,62,397000.0,369000.0,428900.0
1023,2017,62,428900.0,413500.0,470000.0
1024,2018,62,470000.0,446750.0,545000.0
1025,2019,62,545000.0,495000.0,529500.0
1027,2002,64,239900.0,250000.0,244000.0
1028,2003,64,244000.0,305000.0,255000.0
1029,2004,64,255000.0,295000.0,245000.0
1030,2005,64,245000.0,337725.0,254100.0
1031,2006,64,254100.0,366950.0,322500.0
1032,2007,64,322500.0,483250.0,295750.0
1033,2008,64,295750.0,487000.0,271000.0
1034,2009,64,271000.0,390000.0,298000.0
1035,2010,64,298000.0,417440.5,257500.0
1036,2011,64,257500.0,465000.0,298500.0
1037,2012,64,298500.0,425000.0,301750.0
1038,2013,64,301750.0,443500.0,357500.0
1039,2014,64,357500.0,447000.0,375000.0
1040,2015,64,375000.0,495000.0,425000.0
1041,2016,64,425000.0,575000.0,465000.0
1042,2017,64,465000.0,650000.0,523500.0
1043,2018,64,523500.0,656000.0,555000.0
1044,2019,64,555000.0,766000.0,532500.0
1046,2002,65,193000.0,282000.0,204950.0
1047,2003,65,204950.0,276625.0,191500.0
1048,2004,65,191500.0,290675.0,198500.0
1049,2005,65,198500.0,305250.0,220750.0
1050,2006,65,220750.0,328950.0,215000.0
1051,2007,65,215000.0,398250.0,229500.0
1052,2008,65,229500.0,430250.0,247450.0
1053,2009,65,247450.0,363319.5,217250.0
1054,2010,65,217250.0,341750.0,215500.0
1055,2011,65,215500.0,357500.0,215000.0
1056,2012,65,215000.0,298250.0,219950.0
1057,2013,65,219950.0,347975.0,272500.0
1058,2014,65,272500.0,390950.0,300000.0
1059,2015,65,300000.0,405500.0,342500.0
1060,2016,65,342500.0,469500.0,350000.0
1061,2017,65,350000.0,555312.5,396500.0
1062,2018,65,396500.0,536250.0,435000.0
1063,2019,65,435000.0,557000.0,460000.0
1065,2002,66,316500.0,244900.0,335750.0
1066,2003,66,335750.0,257250.0,370000.0
1067,2004,66,370000.0,268500.0,530000.0
1068,2005,66,530000.0,264750.0,572450.0
1069,2006,66,572450.0,298550.0,493250.0
1070,2007,66,493250.0,402875.0,551963.5
1071,2008,66,551963.5,384375.0,540000.0
1072,2009,66,540000.0,320019.5,745000.0
1073,2010,66,745000.0,357720.25,730000.0
1074,2011,66,730000.0,361250.0,572500.0
1075,2012,66,572500.0,361750.0,626000.0
